"","JOIN_NUMBER","assets","years","highest_degree"
"327",5070,87244305,13,"Master's"
"328",5075,90171154,23,"Master's"
"329",5078,10462093,18,"Bachelor's"
"330",5163,430744853,13,"Bachelor's"
"331",5213,134310795,10,"Bachelor's"
"332",5222,13192733,21,"Master's"
"333",5333,240636434,18,"Master's"
"334",5353,213067320,5,"Bachelor's"
"335",5362,33969232,11,"Bachelor's"
"336",5461,346383623,34,"Bachelor's"
"337",5474,198093957,35,"Bachelor's"
"338",5478,30143400,13,"Associate's"
"339",5479,202045518,22,"Doctorate's"
"340",5481,24872061,6,"Bachelor's"
"341",5548,306525998,5,"Bachelor's"
"342",5551,854206144,22,"Master's"
"343",5611,59551219,9,"Master's"
"344",5689,69106013,37,"Associate's"
"345",5701,65952193,13,"Master's"
"346",5715,20290721,30,"Bachelor's"
"347",5744,534308395,15,"Bachelor's"
"348",5762,81131004,3,"Associate's"
"349",5765,25501816,38,"Doctorate's"
"350",5768,387848407,3,"Bachelor's"
"351",5772,85766660,22,"Bachelor's"
"352",5773,76209286,17,"Bachelor's"
"353",5796,570426231,21,"Master's"
"354",5829,661126422,32,"Bachelor's"
"355",5832,588452342,25,"Bachelor's"
"356",5838,290248090,20,"Bachelor's"
"357",5857,620031078,12,"Master's"
"358",5879,307598743,21,"Master's"
"359",5880,139612928,16,"Bachelor's"
"360",5892,102329530,12,"Bachelor's"
"361",5908,13071423,14,"Bachelor's"
"362",5927,19947312,12,"Master's"
"363",5930,90262893,27,"Associate's"
"364",5953,30560958,46,"Bachelor's"
"365",6007,580399086,11,"Bachelor's"
"366",6039,94756068,26,"Bachelor's"
"367",6054,284306591,27,"Master's"
"368",6063,63050943,8,"Bachelor's"
"369",6082,161325086,9,"Bachelor's"
"370",6153,142234741,33,"Bachelor's"
"371",6166,34526439,22,"Bachelor's"
"372",6171,360990164,5,"Bachelor's"
"373",6209,740846866,4,"Bachelor's"
"374",6215,610931844,17,"Bachelor's"
"375",6224,91278579,29,"Bachelor's"
"376",6268,178604726,7,"Master's"
"377",6281,59478275,18,"Bachelor's"
"378",6329,85757576,5,"Bachelor's"
"379",6337,62472117,14,"Master's"
"380",6344,27302495,37,"Master's"
"381",6401,992565579,28,"Master's"
"382",6421,411131933,35,"Master's"
"383",6457,9584283,22,"Master's"
"384",6469,7374261,23,"Bachelor's"
"385",6471,81827576,21,"Bachelor's"
"386",6478,79260284,18,"Bachelor's"
"387",6482,17781182,22,"Master's"
"388",6534,26982972,9,"Bachelor's"
"389",6566,131393243,16,"Master's"
"390",6614,437996735,24,"Bachelor's"
"391",6623,140569303,13,"Bachelor's"
"392",6671,1233592,18,"Associate's"
"393",6724,31154653,19,"Bachelor's"
"394",6748,51727572,41,"Bachelor's"
"395",6751,20438972,13,"Master's"
"396",6755,1144085,7,"Bachelor's"
"397",6765,74056556,8,"Bachelor's"
"398",6776,163062567,29,"Bachelor's"
"399",6798,55121356,39,"Associate's"
"400",6818,65258184,30,"Bachelor's"
"401",6847,1286547,6,"Bachelor's"
"402",6876,192020159,9,"Bachelor's"
"403",6894,21890046,18,"Associate's"
"404",6896,31042621,2,"Associate's"
"405",6897,781934947,26,"Master's"
"406",6918,496899871,24,"Bachelor's"
"407",6968,113320491,46,"Bachelor's"
"408",6978,18638303,42,"Bachelor's"
"409",6985,555264633,12,"Master's"
"410",7004,80322483,12,"Associate's"
"411",7012,115221758,18,"Master's"
"412",7026,41698883,21,"Master's"
"413",7027,149394265,25,"Bachelor's"
"414",7069,3181010,24,"Bachelor's"
"415",7074,76099760,23,"Master's"
"416",7094,188181028,9,"Bachelor's"
"417",7097,57463637,10,"Master's"
"418",7108,649065393,30,"Master's"
"419",7137,17035210,21,"Master's"
"420",7154,36533281,11,"Bachelor's"
"421",7167,41649574,20,"Bachelor's"
"422",7218,205635,28,"Master's"
"423",7339,72030095,10,"Bachelor's"
"424",7393,99532139,15,"Associate's"
"425",7405,44695490,4,"Master's"
"426",7459,69439872,26,"Bachelor's"
"427",7498,87741951,23,"Bachelor's"
"428",7500,549966120,31,"Master's"
"429",7503,662882730,19,"Bachelor's"
"430",7527,55042384,16,"Master's"
"431",7558,36928363,17,"Master's"
"432",7565,64282282,25,"Bachelor's"
"433",7660,248120578,37,"Bachelor's"
"434",7665,23211756,9,"Master's"
"435",7672,19647549,23,"Master's"
"436",7674,5295621,16,"Bachelor's"
"437",7680,41980375,5,"Bachelor's"
"438",7720,109876023,19,"Bachelor's"
"439",7750,287375818,17,"Master's"
"440",7752,38578527,23,"Associate's"
"441",7786,2556948,3,"Bachelor's"
"442",7796,54182575,21,"Bachelor's"
"443",7805,115299250,37,"Bachelor's"
"444",7846,126788455,25,"Master's"
"445",7873,539723238,17,"Master's"
"446",7904,5732692,33,"Master's"
"447",7919,8650407,7,"Bachelor's"
"448",7922,133991357,21,"Bachelor's"
"449",8003,18346079,19,"Master's"
"450",8028,142290193,15,"Bachelor's"
"451",8059,133068706,32,"Bachelor's"
"452",8247,8095728,30,"Bachelor's"
"453",8303,4642626,34,"Bachelor's"
"454",8331,119476510,16,"Master's"
"455",8351,221053596,7,"Master's"
"456",8372,5992141,9,"Master's"
"457",8403,145330660,13,"Bachelor's"
"458",8444,93015474,2,"Bachelor's"
"459",8468,133290300,20,"Bachelor's"
"460",8471,203298508,26,"Bachelor's"
"461",8495,1127396,40,"Bachelor's"
"462",8503,35470383,20,"Bachelor's"
"463",8506,36742911,14,"Master's"
"464",8532,72927188,26,"Master's"
"465",8559,404996848,18,"Doctorate's"
"466",8585,177062747,14,"Bachelor's"
"467",8586,268240172,33,"Master's"
